property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Townhouse,"Rosail City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,3,215 sqm,tel:+201158934439,Receive your unit in the most prestigious location,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-rosail-city-5022891.html,Element not found,Ask for price
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,150 sqm,tel:+20221208356,Own an apartment with a 5% down payment and 8 year,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5019025.html,FLR Real Estate logo image,"17,825,000 EGP"
Twin House,"La Vista 1, La Vista, Al Ain Al Sokhna, Suez",3,3,170 sqm,tel:+20221257382,Panoramic sea view twinhouse for sale in lavista1,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-suez-al-ain-al-sokhna-la-vista-la-vista-1-5020936.html,URE-Ultimate Real Estate logo image,"12,600,000 EGP"
Penthouse,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,228 sqm,tel:+20221257237,"With 39% discount on cash, a penthouse in Taj City",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-5020076.html,Falcon for Real Estate logo image,"1,350,000 EGP"
Chalet,"Latin District, New Alamein City, North Coast",2,2,120 sqm,tel:+20221208363,"5% down payment, your apartment in Latin District",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-new-alamein-city-latin-district-5021705.html,Capital Agency For Real Estate logo image,"4,300,000 EGP"
Townhouse,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",4,4,210 sqm,tel:+201003566672,TownH. for resale in woodville golf extension- RTM,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-5020201.html,Element not found,"5,000,000 EGP"
Townhouse,"O West, 6 October Compounds, 6 October City, Giza",4,4,230 sqm,tel:+201212535063,For Sale Townhouse 4 Bed in O West DP 10% Over 7Y,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-o-west-5022099.html,Egypt Best Properties West logo image,"17,000,000 EGP"
Apartment,"October Plaza, 6 October Compounds, 6 October City, Giza",2,3,157 sqm,tel:+201050803304,prime location Apartment Resale in October plaza,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-october-plaza-5022217.html,Allocate Real Estate logo image,"5,250,000 EGP"
Apartment,"Sodic East, 6th District, New Heliopolis, Cairo",2,2,125 sqm,tel:+201275973422,Sodic East Apartment Fully Finished For Sale 2 bed,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-heliopolis-6th-district-sodic-east-5019105.html,Egypt Best Properties logo image,"12,000,000 EGP"
Villa,"Al Patio 5, El Patio, El Shorouk Compounds, Shorouk City, Cairo",4,4,220 sqm,tel:+201155582007,villa for sale in patio5 lavista elshorouk D.P 15%,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-al-patio-5-5022763.html,Element not found,"2,550,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,132 sqm,tel:+201050803313,Zed East Apartment Under Market Price With Install,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5022960.html,Allocate Real Estate logo image,"12,540,000 EGP"
Apartment,"Palm Parks Palm Hills, South Dahshur Link, 6 October City, Giza",2,1,91 sqm,tel:+201111903818,Resale Fully finished Apartment with installments,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-south-dahshur-link-palm-parks-palm-hills-5019598.html,Egypt Best Properties West logo image,"1,500,000 EGP"
Villa,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",3,3,3 sqm,tel:+201111457849,Finished villa first row with panaromic view-0%DP.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-red-sea-hurghada-al-gouna-mangroovy-residence-5020064.html,Realm Properties logo image,"2,600,000 EGP"
Villa,"Soul North Coast, Qesm Ad Dabaah, North Coast",7,7+,916 sqm,tel:+201200030028,"villa complete sea view from the garden,",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-qesm-ad-dabaah-soul-north-coast-5020911.html,Egypt Best Properties logo image,"110,000,000 EGP"
Townhouse,"The Crown, Cairo Alexandria Desert Road, 6 October City, Giza",4,4,210 sqm,tel:+201003566672,Own Townhouse in the most luxurious comp. in zayed,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-cairo-alexandria-desert-road-the-crown-5021846.html,Element not found,"18,500,000 EGP"
iVilla,"Aliva, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,250 sqm,tel:+201212604445,Prime located Hot Price town house in Aliva 191 m,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-aliva-5020753.html,Egypt Best Properties logo image,"11,952,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,218 sqm,tel:+201070002929,Loft Great View Less Than Company 8 million,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5021405.html,ALux Investments logo image,"18,990,000 EGP"
Villa,"Silver Sands, Qesm Marsa Matrouh, North Coast",5,7+,230 sqm,tel:+201282000666,Own Villa with 10% dp Fully Finished over 6 years,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-qesm-marsa-matrouh-silver-sands-5022904.html,AK Circle logo image,"65,001,000 EGP"
Townhouse,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3,3,365 sqm,tel:+20221257496,Townhouse for sale hacienda bay 365M furnished,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-5021726.html,Sedra Real Estate logo image,"18,000,000 EGP"
Apartment,"Midgard Residence, Cairo Alexandria Desert Road, 6 October City, Giza",3,2,168 sqm,tel:+201150230000,Apartment for sale 3BD with 434k DP |9YRS|NEWZAYED,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-midgard-residence-5020315.html,CBE New Homes logo image,"6,200,000 EGP"
Duplex,"MonteNapoleone, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,3,161 sqm,tel:+20221257418,Duplex 4BR + G Fully Finished Over Looking Villas,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-montenapoleone-5021429.html,IRTKAZ logo image,"6,821,567 EGP"
Penthouse,"Cali Coast, Ras Al Hekma, North Coast",2,2,89 sqm,tel:+20221257009,Finished Penthouse By D.P 5% Lagoon View Deli.2025,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-ras-al-hekma-cali-coast-5019778.html,Adviser Real Estate logo image,"8,941,000 EGP"
Apartment,"90 Avenue, South Investors Area, New Cairo City, Cairo",3,2,179 sqm,tel:+201119333569,own special apartment in front of AUC,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-90-avenue-5022110.html,Noon Group logo image,"9,331,054 EGP"
iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,305 sqm,tel:+201275973473,Ivilla Roof Corner Under Market Price Very Prime L,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-5020954.html,Egypt Best Properties logo image,"15,700,000 EGP"
iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,230 sqm,tel:+20221257304,Resale Lagoon View IVilla Roof With Installments,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-5019265.html,Blue Rock Real Estate logo image,"10,800,000 EGP"
iVilla,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,230 sqm,tel:+201003566672,IVilla in Mountain View I-City with installments .,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5021407.html,Element not found,"4,600,000 EGP"
Apartment,"Al Narges 3, Al Narges, New Cairo City, Cairo",3,3,190 sqm,tel:+20221257089,Best Price | Apartment 190 m | Ready to move,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-narges-al-narges-3-5022310.html,You Choice Real Estate logo image,"6,200,000 EGP"
Villa,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,3,285 sqm,tel:+201120557711,The last 285 sqm villa is ready for inspection in,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-district-5-5022889.html,Element not found,"30,000,000 EGP"
Apartment,"90 Avenue, South Investors Area, New Cairo City, Cairo",2,3,136 sqm,tel:+20221208372,Finished apart. 36% Discount Or inst. 90 Avenue,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-90-avenue-5019988.html,Go Green Egypt Real Estate logo image,"7,751,015 EGP"
Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,320 sqm,tel:+201092625951,villa 320m - lake view - palm hills with low price,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5022339.html,Monogram Real Estate Trust logo image,"18,800,000 EGP"
Townhouse,"Almaza Bay, Qesm Marsa Matrouh, North Coast",3,3,250 sqm,tel:+201200060015,Town 10% DP with 8 years installments Sea View,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-north-coast-qesm-marsa-matrouh-almaza-bay-5020563.html,Egypt Best Properties logo image,"20,000,000 EGP"
Chalet,"Gaia, Ras Al Hekma, North Coast",2,2,110 sqm,tel:+201211152978,Chalet at Summer Ras El Hekma Al Ahly Sabbour,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-gaia-5019919.html,Own Properties Real Estate Consultancy logo image,Ask for price
Apartment,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",3,3,166 sqm,tel:+20221257200,3 bedrooms “Beach view”| Belle vie | Emaar | Zayed,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-5019959.html,URE-Ultimate Real Estate logo image,"7,500,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,123 sqm,tel:+201066280660,With Down Payment Apartment Hyde Park Greens,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5021128.html,Egy Property Real Estate logo image,"9,151,151 EGP"
Chalet,"Gaia, Ras Al Hekma, North Coast",2,2,120 sqm,tel:+201275973432,Chalet Sea View+lagoon First launch@Summer Sabbour,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-gaia-5020557.html,Egypt Best Properties West logo image,"6,500,000 EGP"
Apartment,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",2,2,140 sqm,tel:+201090669915,"Apartment in Location Double View, up to 9 years",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-new-giza-5022633.html,Headway Properties logo image,"5,130,000 EGP"
Apartment,"Seashore, Ras Al Hekma, North Coast",3,3,135 sqm,tel:+201201659717,chalet for sale finished sea view in seashore 5%DP,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-north-coast-ras-al-hekma-seashore-5020062.html,Egypt Best Properties West logo image,"12,000,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,216 sqm,tel:+201070002929,Ready To Move Corner Facing North Best Garden View,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5021275.html,ALux Investments logo image,"12,600,000 EGP"
Apartment,"Zoya, Sidi Abdel Rahman, North Coast",3,2,145 sqm,tel:+201201659643,For Sale Luxury Apartment In ZOYA North Coast,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-north-coast-sidi-abdel-rahman-zoya-5021395.html,Egypt Best Properties West logo image,"19,500,000 EGP"
Chalet,"Marassi, Sidi Abdel Rahman, North Coast",1,1,72 sqm,tel:+20221256958,chalet with garden | Greek | with Landscape view,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-5018970.html,Views for Real Estate logo image,"9,400,000 EGP"
Chalet,"Azha North, Ras Al Hekma, North Coast",2,3,130 sqm,tel:+20221208175,Lowest price for chalet 2bed double lagoon view Az,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-azha-north-5019043.html,Houseology logo image,"6,104,717 EGP"
Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",6,5,900 sqm,tel:+201016909538,FULLY FINISHED standalone 686m in swan lake one,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-swan-lake-5021387.html,YaKan Properties logo image,"95,000,000 EGP"
Twin House,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5,5,350 sqm,tel:+201016909538,Twin house semi finished Cairo festival city cfc,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-5019503.html,YaKan Properties logo image,"30,500,000 EGP"
Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,201 sqm,tel:+201275973422,Apartment Zed East Three Beds Hot Price For Sale,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-5021040.html,Egypt Best Properties logo image,"3,278,400 EGP"
Chalet,"Fouka Bay, Qesm Marsa Matrouh, North Coast",2,3,120 sqm,tel:+201279286120,fully finished 2bd chalet sea view 7yr installment,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-fouka-bay-5022617.html,Egypt Best Properties West logo image,"9,153,000 EGP"
Townhouse,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,260 sqm,tel:+201279280238,Very Prime Location Villa Townhouse at District 5,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-district-5-5019961.html,Egypt Best Properties logo image,"15,012,210 EGP"
iVilla,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,240 sqm,tel:+201011078840,"Direct Lagoon, lowest price for a villa .",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5021791.html,Gate real estate marketing logo image,"3,500,000 EGP"
Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",3,3,222 sqm,tel:+201226600677,Apartment for sale Uptown Cairo fully finished,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-uptown-cairo-the-fourteen-golf-residences-5020406.html,Platinum Real Estate logo image,"17,000,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1,82 sqm,tel:+20221257036,unit + garden in hydepark - greens,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5018417.html,Iltiqaa for Real Estate logo image,"9,320,000 EGP"
Chalet,"Caesar, Qesm Marsa Matrouh, North Coast",3,3,160 sqm,tel:+201200060015,For Sale with 8 years installments Chalet 3 Beds,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-caesar-5021001.html,Egypt Best Properties logo image,"11,000,000 EGP"
Chalet,"Pyramids, Porto Sokhna, Al Ain Al Sokhna, Suez",2,2,110 sqm,tel:+20221208307,للبيع شاليه بفيو مميز بـ بورتو السخنة (الاهرامات),Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-porto-sokhna-pyramids-5019946.html,Sign for Real Estate co. logo image,"3,450,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1,81 sqm,tel:+20221257036,apartment + roof prime location new cairo,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5019109.html,Iltiqaa for Real Estate logo image,"8,950,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,165 sqm,tel:+20221208520,Apartment for sale in Hyde park under market price,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5018956.html,Elegant Home logo image,"6,850,000 EGP"
Twin House,"Al Patio 5, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,4,298 sqm,tel:+20221257194,Resale Twin House Patio 5 La Vista Al Sherouk,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-al-patio-5-5020229.html,Sedra Real Estate logo image,"15,000,000 EGP"
Chalet,"Seashore, Ras Al Hekma, North Coast",2,2,100 sqm,tel:+201066280660,Finished Chalet For sale in Hyde Park North,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-seashore-5021575.html,Egy Property Real Estate logo image,"13,000,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",2,2,89 sqm,tel:+201155544006,chalet 89 m sea view in cali coast Ras el hekma,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5020454.html,Esraa logo image,"8,213,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",2,2,89 sqm,tel:+201155544006,chalet 89 m sea view in cali coast Ras el hekma,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5020454.html,Esraa logo image,"8,213,000 EGP"
Chalet,"Sea View, Qesm Ad Dabaah, North Coast",3,2,120 sqm,tel:+201155544006,In Ras Al-Hikma120m prime location on the sea,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-sea-view-5020415.html,Esraa logo image,"7,792,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,172 sqm,tel:+201064333222,Apartment for sale finishing ultra superlux,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5018996.html,Loyalty Real Estate logo image,"3,100,000 EGP"
Villa,"Seasons Residence, Ext North Inves Area, New Cairo City, Cairo",6,6,900 sqm,tel:+201016909538,Stand alone 700m for sale in Season Hassan Allam,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-ext-north-inves-area-seasons-residence-5021033.html,YaKan Properties logo image,"37,000,000 EGP"
Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4,4,340 sqm,tel:+20221257325,Villa for sale at El Burouj in very prime location,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-5019350.html,URE-Ultimate Real Estate logo image,"23,000,000 EGP"
Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,220 sqm,tel:+201279320502,Apartment prime location in stone residence,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-5020551.html,Egypt Best Properties logo image,"7,000,000 EGP"
Chalet,"Cali Coast, Ras Al Hekma, North Coast",2,2,101 sqm,tel:+20221257009,Fully Finished Chalet with D.P 5% In Cali Coast,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-cali-coast-5019931.html,Adviser Real Estate logo image,"9,896,000 EGP"
Apartment,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,3,156 sqm,tel:+201212530490,fully finished apartment in district ready to move,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-district-5-residences-5019975.html,Egypt Best Properties logo image,"128,000,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,150 sqm,tel:+20221257036,unite prime location in hydepark - greens,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5018382.html,Iltiqaa for Real Estate logo image,"17,550,000 EGP"
Apartment,"Aliva, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,125 sqm,tel:+201099963232,Lowest Price 3Bed Apartment Aliva by Mountain View,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-aliva-5019597.html,ICOM logo image,"8,458,245 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",2,2,115 sqm,tel:+201068680306,Apartment for sale Prime location Prime view,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5019509.html,Brokers Hub Egypt logo image,"2,000,000 EGP"
Apartment,"Solana, New Zayed City, Sheikh Zayed City, Giza",2,2,128 sqm,tel:+201066280660,Apartment with Installments Fully Finished Solana,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-solana-5019442.html,Egy Property Real Estate logo image,"10,383,428 EGP"
Chalet,"Seashore, Ras Al Hekma, North Coast",3,3,160 sqm,tel:+201201659643,Own Your Coastal Home In Seashore On North Coast,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-seashore-5021375.html,Egypt Best Properties West logo image,"16,700,000 EGP"
Townhouse,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,189 sqm,tel:+20221257496,Townhouse for sale Mivida Avenues-ready-fully,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5020139.html,Sedra Real Estate logo image,"25,000,000 EGP"
Apartment,"90 Avenue, South Investors Area, New Cairo City, Cairo",2,3,132 sqm,tel:+20221208147,Finished apart. 36% Discount Or inst. 90 Avenue,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-90-avenue-5019887.html,Go Green Egypt Real Estate logo image,"7,211,936 EGP"
Apartment,"Ashgar City, Al Wahat Road, 6 October City, Giza",3,3,173 sqm,tel:+201111394759,An apartment with 53 thousand monthly installments,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-al-wahat-road-ashgar-city-5020358.html,Impact Investments logo image,"5,900,000 EGP"
Apartment,"Latin District, New Alamein City, North Coast",2,1,120 sqm,tel:+201222512717,Finished Apartment for sale in New Alamein 120 M,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-north-coast-new-alamein-city-latin-district-5020431.html,Egypt Best Properties West logo image,"4,500,000 EGP"
Villa,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,2,180 sqm,tel:+201228831114,Last 3BRVilla Panoramic Seaview+Garden over7Years.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-red-sea-hurghada-safaga-soma-bay-mesca-5019177.html,Egypt Best Properties West logo image,"9,200,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,155 sqm,tel:+201068680306,Very attractive Mountain view Icity Prime location,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5019450.html,Brokers Hub Egypt logo image,"4,780,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,165 sqm,tel:+201032666522,For salle very prime aparttment at iciity octoper.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5021045.html,Gate real estate marketing logo image,"4,200,000 EGP"
Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,404 sqm,tel:+20221256901,Town house corner for sale in Layan Sabbour,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-5019648.html,URE-Ultimate Real Estate logo image,"17,500,000 EGP"
Villa,"Gates Prive, Waslet Dahshur Road, Sheikh Zayed City, Giza",5,5,301 sqm,tel:+201003566672,luxury standalone villa 301m with a prime location,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-waslet-dahshur-road-gates-prive-5021080.html,Element not found,"1,800,000 EGP"
